app_id,tat_days,issued
APP-00423,8.189,0
APP-00424,6.721,0
APP-00425,0.058,1
APP-00426,0.317,1
APP-00427,0.201,0
APP-00428,0.186,1
APP-00429,10.598,0
APP-00430,0.247,1
APP-00431,0.105,1
APP-00432,0.254,1
APP-00433,0.133,1
APP-00434,0.114,1
APP-00435,0.383,0
APP-00436,6.499,0
APP-00437,6.438,0
APP-00438,0.365,1
APP-00439,0.073,1
APP-00440,0.106,1
APP-00441,0.216,1
APP-00442,0.279,1
APP-00443,9.253,0
APP-00444,0.6,1
APP-00445,0.059,1
APP-00446,3.677,1
APP-00447,0.093,1
APP-00448,0.112,1
APP-00449,0.202,0
APP-00450,0.141,1
APP-00451,6.051,0
APP-00452,0.078,1
APP-00453,0.26,1
APP-00454,6.031,1
APP-00455,0.116,0
APP-00456,0.132,1
APP-00457,4.586,0
APP-00458,0.073,1
APP-00459,0.159,1
APP-00460,0.701,1
APP-00461,12.753,0
APP-00462,0.083,1
APP-00463,4.601,0
APP-00464,7.414,0
APP-00465,0.21,1
APP-00466,9.754,1
APP-00467,0.104,1
APP-00468,0.189,1
APP-00469,0.553,1
APP-00470,0.149,1
APP-00471,3.022,0
APP-00472,0.234,0
APP-00473,4.07,0
APP-00474,0.169,1
APP-00475,9.371,1
APP-00476,0.172,1
APP-00477,0.052,1
APP-00478,0.37,1
APP-00479,0.089,1
APP-00480,0.077,1
APP-00481,0.111,1
APP-00482,0.248,1
APP-00483,0.251,1
APP-00484,5.227,0
APP-00485,0.123,1
APP-00486,0.104,1
APP-00487,0.061,1
APP-00488,0.6,1
APP-00489,0.831,1
APP-00490,0.177,1
APP-00491,6.436,0
APP-00492,4.613,1
APP-00493,0.097,1
APP-00494,0.144,1
APP-00495,4.687,0
APP-00496,7.6,1
APP-00497,7.52,0
APP-00498,2.371,1
APP-00499,9.116,0
APP-00500,0.09,0
APP-00501,0.066,1
APP-00502,6.122,0
APP-00503,12.233,1
APP-00504,0.07,0
APP-00505,0.097,1
APP-00506,0.097,0
APP-00507,2.844,1
APP-00508,8.649,1
APP-00509,0.105,1
APP-00510,7.641,0
APP-00511,2.143,1
APP-00512,0.187,1
APP-00513,0.181,1
APP-00514,0.071,0
APP-00515,0.075,0
APP-00516,0.156,0
APP-00517,0.112,0
APP-00518,8.278,0
APP-00519,8.948,0
APP-00520,0.085,1
APP-00521,0.189,1
APP-00522,0.178,0
APP-00523,0.14,1
APP-00524,3.432,0
APP-00525,0.098,1
APP-00526,0.314,1
APP-00527,7.079,0
APP-00528,9.504,0
APP-00529,0.263,0
APP-00530,9.595,0
APP-00531,0.119,1
APP-00532,0.168,1
APP-00533,0.124,1
APP-00534,5.17,0
APP-00535,0.6,1
APP-00536,0.189,1
APP-00537,0.079,1
APP-00538,0.186,1
APP-00539,7.552,1
APP-00540,0.355,1
APP-00541,0.154,1
APP-00542,0.146,1
APP-00543,11.545,0
APP-00544,8.758,0
APP-00545,0.098,1
APP-00546,0.107,1
APP-00547,0.096,1
APP-00548,0.071,1
APP-00549,0.195,1
APP-00550,0.177,1
APP-00551,0.304,1
APP-00552,0.246,1
APP-00553,0.067,0
APP-00554,0.122,0
APP-00555,5.935,0
APP-00556,0.105,1
APP-00557,1.958,0
APP-00558,0.263,1
APP-00559,0.173,1
APP-00560,0.261,1
APP-00561,3.128,0
APP-00562,0.15,0
APP-00563,9.03,0
APP-00564,7.59,1
APP-00565,10.446,0
APP-00566,0.269,1
APP-00567,0.135,1
APP-00568,0.084,1
APP-00569,0.154,1
APP-00570,7.098,0
APP-00571,4.947,1
APP-00572,0.108,1
APP-00573,0.142,0
APP-00574,0.242,1
APP-00575,0.145,1
APP-00576,6.132,1
APP-00577,0.066,1
APP-00578,0.151,1
APP-00579,0.137,1
APP-00580,0.103,0
APP-00581,0.083,1
APP-00582,0.21,1
APP-00583,0.028,0
APP-00584,0.189,1
APP-00585,0.17,1
APP-00586,0.094,1
APP-00587,0.08,0
APP-00588,7.749,0
APP-00589,6.002,0
APP-00590,0.102,1
APP-00591,0.152,1
APP-00592,0.055,0
APP-00593,5.726,0
APP-00594,6.085,1
APP-00595,0.33,0
APP-00596,5.493,1
APP-00597,4.804,0
APP-00598,0.069,1
APP-00599,4.424,0
APP-00600,0.168,0
APP-00601,0.06,0
APP-00602,0.21,1
APP-00603,0.177,1
APP-00604,0.17,0
APP-00605,0.067,0
APP-00606,12.755,0
APP-00607,0.215,1
APP-00608,0.303,0
APP-00609,5.911,0
APP-00610,0.067,1
APP-00611,9.119,1
APP-00612,0.089,0
APP-00613,0.315,1
APP-00614,0.145,1
APP-00615,0.393,0
APP-00616,1.172,0
APP-00617,0.154,1
APP-00618,0.125,0
APP-00619,0.347,1
APP-00620,0.255,1
APP-00621,0.222,1
APP-00622,0.19,1
APP-00623,0.277,0
APP-00624,0.142,1
APP-00625,0.231,0
APP-00626,0.113,1
APP-00627,5.335,1
APP-00628,0.148,1
APP-00629,0.287,1
APP-00630,0.047,1
APP-00631,0.163,1
APP-00632,0.122,1
APP-00633,0.243,1
APP-00634,0.155,1
APP-00635,0.199,1
APP-00636,0.06,1
APP-00637,2.596,0
APP-00638,0.103,1
APP-00639,5.835,1
APP-00640,7.325,1
APP-00641,0.059,1
APP-00642,4.772,1
APP-00643,6.95,0
APP-00644,0.289,1
APP-00645,0.088,0
APP-00646,0.149,0
APP-00647,0.162,0
APP-00648,0.109,0
APP-00649,0.211,1
APP-00650,0.201,1
APP-00651,0.208,0
APP-00652,0.262,1
APP-00653,0.168,0
APP-00654,0.094,1
APP-00655,0.084,1
APP-00656,11.589,0
APP-00657,0.123,1
APP-00658,0.182,1
APP-00659,0.18,1
APP-00660,0.6,1
APP-00661,0.186,1
APP-00662,0.201,0
APP-00663,6.645,0
APP-00664,0.123,1
APP-00665,0.415,1
APP-00666,0.106,1
APP-00667,0.204,1
APP-00668,0.273,1
APP-00669,0.108,1
APP-00670,0.104,1
APP-00671,0.141,1
APP-00672,7.33,0
APP-00673,0.104,1
APP-00674,5.326,0
APP-00675,11.648,1
APP-00676,8.999,1
APP-00677,0.076,1
APP-00678,2.342,1
APP-00679,7.514,0
APP-00680,0.257,0
APP-00681,0.142,1
APP-00682,0.088,1
APP-00683,0.198,1
APP-00684,8.989,1
APP-00685,2.55,1
APP-00686,0.166,1
APP-00687,2.495,0
APP-00688,0.08,1
APP-00689,0.147,1
APP-00690,0.16,1
APP-00691,0.185,1
APP-00692,4.962,1
APP-00693,3.708,0
APP-00694,0.174,0
APP-00695,0.152,1
APP-00696,6.582,0
APP-00697,4.215,1
APP-00698,0.2,1
APP-00699,0.208,1
APP-00700,8.136,1
APP-00701,0.327,1
APP-00702,0.164,1
APP-00703,0.157,1
APP-00704,0.1,0
APP-00705,11.151,1
APP-00706,0.895,1
APP-00707,0.063,0
APP-00708,0.088,1
APP-00709,8.163,1
APP-00710,5.408,0
APP-00711,0.136,0
APP-00712,0.118,1
APP-00713,0.18,1
APP-00714,0.095,1
APP-00715,0.174,0
APP-00716,5.682,1
APP-00717,0.305,0
APP-00718,0.191,0
APP-00719,0.153,1
APP-00720,0.276,1
APP-00721,0.404,1
APP-00722,0.046,1
APP-00723,0.066,1
APP-00724,0.123,1
APP-00725,0.272,1
APP-00726,0.218,1
APP-00727,0.405,0
APP-00728,0.43,1
APP-00729,0.172,1
APP-00730,0.085,0
APP-00731,0.198,1
APP-00732,0.086,1
APP-00733,3.05,1
APP-00734,0.138,0
APP-00735,8.218,0
APP-00736,0.153,1
APP-00737,0.185,1
APP-00738,0.126,0
APP-00739,9.773,1
APP-00740,0.098,1
APP-00741,0.163,0
APP-00742,0.299,1
APP-00743,0.233,1
APP-00744,0.507,1
APP-00745,0.089,1
APP-00746,0.371,0
APP-00747,0.35,0
APP-00748,0.295,1
APP-00749,5.956,1
APP-00750,0.108,1
APP-00751,6.332,0
APP-00752,0.143,1
APP-00753,0.233,1
APP-00754,10.272,1
APP-00755,0.171,0
APP-00756,8.736,1
APP-00757,0.21,1
APP-00758,0.19,1
APP-00759,11.327,0
APP-00760,5.628,0
APP-00761,0.142,0
APP-00762,0.127,1
APP-00763,0.245,1
APP-00764,8.123,1
APP-00765,5.549,1
APP-00766,0.131,0
APP-00767,0.056,0
APP-00768,7.796,1
APP-00769,6.452,0
APP-00770,0.106,1
APP-00771,6.383,0
APP-00772,8.845,0
APP-00773,0.387,1
APP-00774,0.203,1
APP-00775,0.066,1
APP-00776,4.215,0
APP-00777,0.131,1
APP-00778,2.516,0
APP-00779,0.103,0
APP-00780,0.063,1
APP-00781,0.218,0
APP-00782,0.112,1
APP-00783,0.149,0
APP-00784,0.108,1
APP-00785,5.823,1
APP-00786,0.134,1
APP-00787,0.064,1
APP-00788,5.192,1
APP-00789,6.006,0
APP-00790,0.22,1
APP-00791,4.546,0
APP-00792,0.073,1
APP-00793,0.089,0
APP-00794,0.157,1
APP-00795,10.792,0
APP-00796,0.148,1
APP-00797,2.498,0
APP-00798,0.108,1
APP-00799,0.139,1
APP-00800,0.21,1
APP-00801,0.127,1
APP-00802,0.179,1
APP-00803,0.107,0
APP-00804,7.09,0
APP-00805,0.4,1
APP-00806,0.259,0
APP-00807,2.586,0
APP-00808,0.393,0
APP-00809,0.214,0
APP-00810,0.333,1
APP-00811,0.087,1
APP-00812,0.089,1
APP-00813,0.275,1
APP-00814,6.747,0
APP-00815,0.176,1
APP-00816,4.271,1
APP-00817,0.178,1
APP-00818,7.706,0
APP-00819,8.854,0
APP-00820,0.302,1
APP-00821,0.155,1
APP-00822,0.214,1
APP-00823,0.14,1
APP-00824,0.17,1
APP-00825,0.21,1
APP-00826,0.135,1
APP-00827,5.504,1
APP-00828,0.41,1
APP-00829,4.713,1
APP-00830,0.255,1
APP-00831,0.343,1
APP-00832,15.948,0
APP-00833,0.162,1
APP-00834,0.171,0
APP-00835,9.643,0
APP-00836,7.125,1
APP-00837,0.12,0
APP-00838,0.445,1
APP-00839,0.086,0
APP-00840,6.324,0
APP-00841,0.088,1
APP-00842,0.115,1
APP-00843,0.104,0
APP-00844,0.111,1
APP-00845,0.064,1
APP-00846,9.356,0
APP-00847,0.377,0
APP-00848,3.96,0
APP-00849,0.19,0
APP-00850,0.251,1
APP-00851,10.155,1
APP-00852,0.35,0
APP-00853,0.182,1
APP-00854,0.173,1
APP-00855,0.156,1
APP-00856,9.64,1
APP-00857,0.115,1
APP-00858,0.201,1
APP-00859,0.172,1
APP-00860,7.756,1
APP-00861,5.994,1
APP-00862,0.15,1
APP-00863,0.248,1
APP-00864,9.911,0
APP-00865,0.18,0
APP-00866,0.042,1
APP-00867,0.178,1
APP-00868,1.072,0
APP-00869,0.153,1
APP-00870,0.037,0
APP-00871,2.055,1
APP-00872,0.187,1
APP-00873,11.881,1
APP-00874,0.061,1
APP-00875,1.651,0
APP-00876,0.162,1
APP-00877,4.777,0
APP-00878,0.081,1
APP-00879,0.6,1
APP-00880,0.342,1
APP-00881,0.13,1
APP-00882,0.1,1
APP-00883,0.095,0
APP-00884,0.197,0
APP-00885,0.093,0
APP-00886,0.139,1
APP-00887,0.05,0
APP-00888,0.11,0
APP-00889,0.249,1
APP-00890,4.191,0
APP-00891,0.106,1
APP-00892,0.054,1
APP-00893,0.157,1
APP-00894,0.229,1
APP-00895,0.064,1
APP-00896,0.161,0
APP-00897,0.175,0
APP-00898,8.0,0
APP-00899,0.19,1
APP-00900,0.293,1
APP-00901,0.182,0
APP-00902,0.229,1
APP-00903,5.462,0
APP-00904,0.116,1
APP-00905,0.073,1
APP-00906,13.019,0
APP-00907,0.138,0
APP-00908,0.1,1
APP-00909,0.224,1
APP-00910,0.32,0
APP-00911,9.465,0
APP-00912,0.069,1
APP-00913,0.316,1
APP-00914,0.197,1
APP-00915,0.312,1
APP-00916,0.235,0
APP-00917,6.678,1
APP-00918,0.35,1
APP-00919,0.118,0
APP-00920,0.102,0
APP-00921,0.06,0
APP-00922,7.721,0
APP-00923,0.201,1
APP-00924,0.07,1
APP-00925,8.499,1
APP-00926,16.495,0
APP-00927,0.105,0
APP-00928,0.254,1
APP-00929,0.098,0
APP-00930,0.108,1
APP-00931,0.133,1
APP-00932,0.222,1
APP-00933,0.075,1
APP-00934,0.096,1
APP-00935,0.071,0
APP-00936,3.865,1
APP-00937,0.158,1
APP-00938,0.115,1
APP-00939,0.141,1
APP-00940,0.213,0
APP-00941,0.078,1
APP-00942,0.415,1
APP-00943,0.042,1
APP-00944,13.834,1
APP-00945,0.347,0
APP-00946,0.266,1
APP-00947,0.321,1
APP-00948,0.084,1
APP-00949,1.948,1
APP-00950,0.489,1
APP-00951,0.318,0
APP-00952,0.052,0
APP-00953,0.276,1
APP-00954,0.136,1
APP-00955,0.124,0
APP-00956,10.178,0
APP-00957,0.222,1
APP-00958,0.158,0
APP-00959,0.075,1
APP-00960,0.03,1
APP-00961,0.175,1
APP-00962,4.73,1
APP-00963,0.124,1
APP-00964,9.544,1
APP-00965,13.074,0
APP-00966,0.361,1
APP-00967,0.053,0
APP-00968,0.229,1
APP-00969,0.251,1
APP-00970,0.111,0
APP-00971,5.413,0
APP-00972,0.184,1
APP-00973,0.265,1
APP-00974,7.692,0
APP-00975,0.215,0
APP-00976,4.305,1
APP-00977,0.199,1
APP-00978,0.071,0
APP-00979,0.167,1
APP-00980,0.142,0
APP-00981,0.6,1
APP-00982,0.077,1
APP-00983,3.511,0
APP-00984,0.069,1
APP-00985,0.088,0
APP-00986,0.051,1
APP-00987,0.065,1
APP-00988,0.164,1
APP-00989,0.213,1
APP-00990,2.034,0
APP-00991,3.87,0
APP-00992,0.15,0
APP-00993,0.34,1
APP-00994,7.828,1
APP-00995,0.215,1
APP-00996,0.128,1
APP-00997,6.802,0
APP-00998,0.315,1
APP-00999,0.209,1
APP-01000,0.108,0
APP-01001,0.163,1
APP-01002,0.163,0
APP-01003,0.046,1
APP-01004,0.173,1
APP-01005,0.127,1
APP-01006,0.267,0
APP-01007,7.3,0
APP-01008,9.452,0
APP-01009,9.487,1
APP-01010,0.252,0
APP-01011,4.387,0
APP-01012,0.146,0
APP-01013,0.227,0
APP-01014,0.156,0
APP-01015,3.573,1
APP-01016,10.841,1
APP-01017,0.12,0
APP-01018,0.276,1
APP-01019,7.462,0
APP-01020,12.259,0
APP-01021,0.302,0
APP-01022,0.301,0
APP-01023,5.304,1
APP-01024,0.124,1
APP-01025,0.196,1
APP-01026,0.209,1
APP-01027,0.068,1
APP-01028,2.316,1
APP-01029,0.274,1
APP-01030,8.844,1
APP-01031,6.903,1
APP-01032,0.109,1
APP-01033,0.082,1
APP-01034,0.259,1
APP-01035,0.276,0
APP-01036,6.394,0
APP-01037,8.186,0
APP-01038,7.558,0
APP-01039,5.485,1
APP-01040,6.807,0
APP-01041,10.687,1
APP-01042,0.133,1
APP-01043,9.933,0
APP-01044,0.178,0
APP-01045,0.195,1
APP-01046,0.183,1
APP-01047,9.922,0
APP-01048,0.09,0
APP-01049,0.134,1
APP-01050,7.948,0
APP-01051,10.346,0
APP-01052,0.076,1
APP-01053,9.724,1
APP-01054,0.134,1
APP-01055,7.06,0
APP-01056,0.261,1
APP-01057,4.486,1
APP-01058,0.087,1
APP-01059,0.174,1
APP-01060,0.173,1
APP-01061,0.169,1
APP-01062,0.13,0
APP-01063,0.217,1
APP-01064,4.712,1
APP-01065,8.429,0
APP-01066,0.06,1
APP-01067,0.082,1
APP-01068,0.331,0
APP-01069,0.083,1
APP-01070,0.194,1
APP-01071,0.064,0
APP-01072,0.13,0
APP-01073,0.18,1
APP-01074,0.072,1
APP-01075,0.107,0
APP-01076,5.596,0
APP-01077,0.057,1
APP-01078,0.194,1
APP-01079,12.156,1
APP-01080,0.213,1
APP-01081,0.112,1
APP-01082,0.332,0
APP-01083,0.292,1
APP-01084,8.096,1
APP-01085,0.135,0
APP-01086,0.426,0
APP-01087,0.366,0
APP-01088,4.355,0
APP-01089,0.155,1
APP-01090,0.111,0
APP-01091,10.163,0
APP-01092,4.862,0
APP-01093,0.188,0
APP-01094,0.13,1
APP-01095,0.062,1
APP-01096,0.133,0
APP-01097,0.12,1
APP-01098,9.507,0
APP-01099,0.154,1
APP-01100,15.606,1
APP-01101,0.13,1
APP-01102,0.21,0
APP-01103,3.665,0
APP-01104,0.079,1
APP-01105,0.105,1
APP-01106,0.092,0
APP-01107,8.718,0
APP-01108,11.007,1
APP-01109,5.217,0
APP-01110,0.121,1
APP-01111,10.488,0
APP-01112,11.071,0
APP-01113,11.582,1
APP-01114,1.664,1
APP-01115,0.096,1
APP-01116,0.255,1
APP-01117,6.893,1
APP-01118,0.24,1
APP-01119,0.128,1
APP-01120,0.115,1
APP-01121,0.123,1
APP-01122,0.278,1
APP-01123,0.248,1
APP-01124,0.396,1
APP-01125,0.159,0
APP-01126,9.138,0
APP-01127,0.07,0
APP-01128,0.03,1
APP-01129,0.144,1
APP-01130,0.068,1
APP-01131,3.591,0
APP-01132,0.172,1
APP-01133,0.038,0
APP-01134,0.075,1
APP-01135,0.095,1
APP-01136,0.106,0
APP-01137,14.441,1
APP-01138,0.6,1
APP-01139,0.143,0
APP-01140,0.294,1
APP-01141,15.117,0
APP-01142,6.535,1
APP-01143,0.11,1
APP-01144,0.078,0
APP-01145,0.156,1
APP-01146,9.264,1
APP-01147,4.545,1
APP-01148,3.832,0
APP-01149,0.123,1
APP-01150,5.986,1
APP-01151,0.21,1
APP-01152,0.393,1
APP-01153,0.426,0
APP-01154,3.288,0
APP-01155,0.183,1
APP-01156,0.212,1
APP-01157,10.012,0
APP-01158,11.223,1
APP-01159,8.819,0
APP-01160,0.218,1
APP-01161,0.203,1
APP-01162,0.176,1
APP-01163,0.045,1
APP-01164,0.203,1
