date,amount_mln_rub
2023-07-11,79.4
2023-07-12,84.74
2023-07-13,84.87
2023-07-14,79.86
2023-07-15,56.42
2023-07-16,40.18
2023-07-17,77.12
2023-07-18,82.26
2023-07-19,93.22
2023-07-20,102.49
2023-07-21,102.86
2023-07-22,68.4
2023-07-23,49.22
2023-07-24,92.39
2023-07-25,102.74
2023-07-26,82.92
2023-07-27,79.75
2023-07-28,87.03
2023-07-29,67.55
2023-07-30,39.75
2023-07-31,83.75
2023-08-01,99.97
2023-08-02,97.11
2023-08-03,92.93
2023-08-04,86.04
2023-08-05,80.71
2023-08-06,67.05
2023-08-07,117.11
2023-08-08,109.75
2023-08-09,101.33
2023-08-10,87.39
2023-08-11,86.9
2023-08-12,59.57
2023-08-13,45.57
2023-08-14,93.61
2023-08-15,100.32
2023-08-16,82.65
2023-08-17,87.86
2023-08-18,93.29
2023-08-19,66.89
2023-08-20,55.29
2023-08-21,128.51
2023-08-22,117.01
2023-08-23,103.9
2023-08-24,94.39
2023-08-25,90.07
2023-08-26,64.91
2023-08-27,53.41
2023-08-28,94.83
2023-08-29,112.98
2023-08-30,114.21
2023-08-31,96.56
2023-09-01,96.74
2023-09-02,71.34
2023-09-03,50.51
2023-09-04,122.02
2023-09-05,137.15
2023-09-06,145.59
2023-09-07,135.03
2023-09-08,111.93
2023-09-09,78.05
2023-09-10,55.93
2023-09-11,112.21
2023-09-12,124.68
2023-09-13,118.16
2023-09-14,123.02
2023-09-15,103.69
2023-09-16,81.74
2023-09-17,51.19
2023-09-18,112.75
2023-09-19,119.81
2023-09-20,144.49
2023-09-21,144.53
2023-09-22,121.17
2023-09-23,74.75
2023-09-24,56.23
2023-09-25,112.18
2023-09-26,122.45
2023-09-27,107.93
2023-09-28,106.64
2023-09-29,112.36
2023-09-30,77.07
2023-10-01,56.43
2023-10-02,120.48
2023-10-03,140.92
2023-10-04,122.95
2023-10-05,159.99
2023-10-06,154.97
2023-10-07,94.92
2023-10-08,73.4
2023-10-09,146.23
2023-10-10,133.02
2023-10-11,126.03
2023-10-12,130.83
2023-10-13,111.39
2023-10-14,86.23
2023-10-15,57.81
2023-10-16,145.67
2023-10-17,146.38
2023-10-18,129.07
2023-10-19,137.4
2023-10-20,160.13
2023-10-21,95.09
2023-10-22,79.14
2023-10-23,146.3
2023-10-24,142.18
2023-10-25,130.66
2023-10-26,129.84
2023-10-27,115.1
2023-10-28,82.65
2023-10-29,68.54
2023-10-30,131.95
2023-10-31,127.61
2023-11-01,132.68
2023-11-02,135.22
2023-11-03,127.49
2023-11-04,93.71
2023-11-05,86.59
2023-11-06,190.79
2023-11-07,183.14
2023-11-08,148.85
2023-11-09,159.8
2023-11-10,118.95
2023-11-11,88.1
2023-11-12,74.19
2023-11-13,127.29
2023-11-14,152.09
2023-11-15,115.55
2023-11-16,136.81
2023-11-17,132.01
2023-11-18,91.9
2023-11-19,76.45
2023-11-20,184.07
2023-11-21,208.74
2023-11-22,179.69
2023-11-23,148.04
2023-11-24,119.21
2023-11-25,97.19
2023-11-26,61.87
2023-11-27,143.23
2023-11-28,158.08
2023-11-29,142.23
2023-11-30,135.78
2023-12-01,130.41
2023-12-02,83.65
2023-12-03,68.75
2023-12-04,146.09
2023-12-05,195.77
2023-12-06,212.32
2023-12-07,183.01
2023-12-08,145.39
2023-12-09,102.09
2023-12-10,69.02
2023-12-11,137.93
2023-12-12,154.71
2023-12-13,140.65
2023-12-14,143.8
2023-12-15,130.3
2023-12-16,86.4
2023-12-17,69.05
2023-12-18,142.8
2023-12-19,159.34
2023-12-20,178.33
2023-12-21,174.94
2023-12-22,147.7
2023-12-23,97.56
2023-12-24,67.77
2023-12-25,134.11
2023-12-26,160.39
2023-12-27,159.49
2023-12-28,134.55
2023-12-29,136.83
2023-12-30,91.49
2023-12-31,66.31
2024-01-01,149.36
2024-01-02,150.66
2024-01-03,144.16
2024-01-04,149.64
2024-01-05,150.88
2024-01-06,120.5
2024-01-07,80.57
2024-01-08,148.88
2024-01-09,142.24
2024-01-10,149.05
2024-01-11,135.12
2024-01-12,125.86
2024-01-13,85.52
2024-01-14,64.76
2024-01-15,142.62
2024-01-16,124.39
2024-01-17,144.1
2024-01-18,117.52
2024-01-19,131.62
2024-01-20,97.76
2024-01-21,74.78
2024-01-22,153.34
2024-01-23,130.56
2024-01-24,139.3
2024-01-25,128.12
2024-01-26,128.53
2024-01-27,95.52
2024-01-28,64.84
2024-01-29,125.62
2024-01-30,145.15
2024-01-31,120.91
2024-02-01,135.41
2024-02-02,119.36
2024-02-03,85.67
2024-02-04,70.16
2024-02-05,163.59
2024-02-06,174.53
2024-02-07,145.69
2024-02-08,140.68
2024-02-09,112.4
2024-02-10,88.95
2024-02-11,62.27
2024-02-12,112.18
2024-02-13,119.59
2024-02-14,120.38
2024-02-15,130.68
2024-02-16,111.12
2024-02-17,83.49
2024-02-18,64.81
2024-02-19,120.76
2024-02-20,146.67
2024-02-21,153.89
2024-02-22,146.95
2024-02-23,123.37
2024-02-24,79.73
2024-02-25,50.77
2024-02-26,119.94
2024-02-27,116.55
2024-02-28,115.01
2024-02-29,116.47
2024-03-01,116.95
2024-03-02,73.93
2024-03-03,59.13
2024-03-04,138.86
2024-03-05,145.85
2024-03-06,147.65
2024-03-07,135.51
2024-03-08,106.06
2024-03-09,77.27
2024-03-10,49.45
2024-03-11,104.36
2024-03-12,112.73
2024-03-13,94.06
2024-03-14,115.02
2024-03-15,104.81
2024-03-16,69.96
2024-03-17,51.1
2024-03-18,123.8
2024-03-19,112.23
2024-03-20,134.43
2024-03-21,124.47
2024-03-22,115.99
2024-03-23,75.4
2024-03-24,51.24
2024-03-25,101.38
2024-03-26,94.84
2024-03-27,98.36
2024-03-28,95.79
2024-03-29,83.76
2024-03-30,63.75
2024-03-31,49.34
2024-04-01,98.44
2024-04-02,105.11
2024-04-03,98.22
2024-04-04,105.97
2024-04-05,110.01
2024-04-06,82.24
2024-04-07,56.02
2024-04-08,107.1
2024-04-09,106.35
2024-04-10,96.18
2024-04-11,91.7
2024-04-12,76.63
2024-04-13,58.46
2024-04-14,45.0
2024-04-15,82.08
2024-04-16,97.11
2024-04-17,89.88
2024-04-18,77.58
2024-04-19,86.86
2024-04-20,71.7
2024-04-21,50.54
2024-04-22,106.62
2024-04-23,91.01
2024-04-24,85.07
2024-04-25,88.75
2024-04-26,69.34
2024-04-27,55.02
2024-04-28,43.01
2024-04-29,87.24
2024-04-30,85.91
2024-05-01,88.39
2024-05-02,80.91
2024-05-03,80.35
2024-05-04,61.3
2024-05-05,44.11
2024-05-06,108.05
2024-05-07,102.0
2024-05-08,91.33
2024-05-09,76.23
2024-05-10,71.07
2024-05-11,50.69
2024-05-12,40.71
2024-05-13,79.13
2024-05-14,76.2
2024-05-15,75.28
2024-05-16,78.98
2024-05-17,67.23
2024-05-18,53.61
2024-05-19,38.19
2024-05-20,95.31
2024-05-21,107.87
2024-05-22,92.04
2024-05-23,90.49
2024-05-24,72.42
2024-05-25,47.13
2024-05-26,35.56
2024-05-27,81.51
2024-05-28,80.06
2024-05-29,79.53
2024-05-30,69.05
2024-05-31,65.78
2024-06-01,51.87
2024-06-02,34.49
2024-06-03,68.14
2024-06-04,83.6
2024-06-05,98.55
2024-06-06,107.53
2024-06-07,88.59
2024-06-08,48.95
2024-06-09,36.13
2024-06-10,75.11
2024-06-11,81.12
2024-06-12,73.71
2024-06-13,76.2
2024-06-14,68.25
2024-06-15,50.07
2024-06-16,31.59
2024-06-17,74.62
2024-06-18,79.96
2024-06-19,77.67
2024-06-20,91.75
2024-06-21,89.54
2024-06-22,59.88
2024-06-23,36.11
2024-06-24,72.02
2024-06-25,83.32
2024-06-26,74.01
2024-06-27,71.5
2024-06-28,66.88
2024-06-29,46.36
2024-06-30,40.4
2024-07-01,73.81
2024-07-02,83.56
2024-07-03,77.67
2024-07-04,79.96
2024-07-05,92.78
2024-07-06,63.64
2024-07-07,47.25
2024-07-08,86.32
2024-07-09,79.3
2024-07-10,82.93
2024-07-11,86.4
2024-07-12,74.87
2024-07-13,53.58
2024-07-14,37.1
2024-07-15,76.99
2024-07-16,84.57
2024-07-17,84.77
2024-07-18,77.55
2024-07-19,83.03
2024-07-20,60.01
2024-07-21,49.23
2024-07-22,88.85
2024-07-23,97.33
2024-07-24,81.71
2024-07-25,81.55
2024-07-26,77.83
2024-07-27,52.59
2024-07-28,41.04
2024-07-29,93.8
2024-07-30,83.11
2024-07-31,82.51
2024-08-01,79.88
2024-08-02,72.26
2024-08-03,59.46
2024-08-04,43.36
2024-08-05,113.94
2024-08-06,132.38
2024-08-07,121.85
2024-08-08,106.33
2024-08-09,83.12
2024-08-10,60.72
2024-08-11,41.21
2024-08-12,86.01
2024-08-13,95.43
2024-08-14,97.47
2024-08-15,84.17
2024-08-16,81.12
2024-08-17,63.21
2024-08-18,47.11
2024-08-19,102.12
2024-08-20,125.23
2024-08-21,112.07
2024-08-22,108.05
2024-08-23,97.69
2024-08-24,67.53
2024-08-25,47.85
2024-08-26,91.43
2024-08-27,96.66
2024-08-28,94.7
2024-08-29,101.07
2024-08-30,100.23
2024-08-31,72.25
2024-09-01,40.63
2024-09-02,101.81
2024-09-03,107.16
2024-09-04,118.27
2024-09-05,122.98
2024-09-06,130.28
2024-09-07,81.25
2024-09-08,51.38
2024-09-09,107.3
2024-09-10,110.97
2024-09-11,106.26
2024-09-12,110.13
2024-09-13,103.79
2024-09-14,75.74
2024-09-15,53.5
2024-09-16,110.22
2024-09-17,110.25
2024-09-18,106.48
2024-09-19,118.2
2024-09-20,130.84
2024-09-21,85.2
2024-09-22,61.72
2024-09-23,113.75
2024-09-24,113.15
2024-09-25,112.69
2024-09-26,116.78
2024-09-27,106.0
2024-09-28,77.02
2024-09-29,58.76
2024-09-30,117.58
2024-10-01,104.97
2024-10-02,113.58
2024-10-03,125.64
2024-10-04,118.53
2024-10-05,88.63
2024-10-06,72.0
2024-10-07,157.89
2024-10-08,152.28
2024-10-09,128.3
2024-10-10,109.68
2024-10-11,100.56
2024-10-12,82.65
2024-10-13,51.33
2024-10-14,119.41
2024-10-15,128.22
2024-10-16,132.56
2024-10-17,118.24
2024-10-18,113.11
2024-10-19,78.17
2024-10-20,68.73
2024-10-21,157.55
2024-10-22,153.95
2024-10-23,130.93
2024-10-24,122.82
2024-10-25,115.01
2024-10-26,81.88
2024-10-27,63.86
2024-10-28,120.09
2024-10-29,118.14
2024-10-30,125.54
2024-10-31,114.17
2024-11-01,116.69
2024-11-02,80.0
2024-11-03,62.87
2024-11-04,129.3
2024-11-05,170.81
2024-11-06,181.64
2024-11-07,154.33
2024-11-08,128.66
2024-11-09,88.58
2024-11-10,59.96
2024-11-11,117.83
2024-11-12,134.94
2024-11-13,126.98
2024-11-14,130.63
2024-11-15,105.24
2024-11-16,91.21
2024-11-17,60.79
2024-11-18,125.87
2024-11-19,162.57
2024-11-20,143.83
2024-11-21,162.13
2024-11-22,139.44
2024-11-23,101.4
2024-11-24,66.45
2024-11-25,145.26
2024-11-26,136.73
2024-11-27,133.45
2024-11-28,143.06
2024-11-29,113.13
2024-11-30,84.85
2024-12-01,68.09
2024-12-02,118.56
2024-12-03,143.78
2024-12-04,139.52
2024-12-05,154.75
2024-12-06,173.19
2024-12-07,112.33
2024-12-08,78.47
2024-12-09,142.43
2024-12-10,145.94
2024-12-11,133.27
2024-12-12,123.9
2024-12-13,122.23
2024-12-14,84.3
2024-12-15,62.29
2024-12-16,124.28
2024-12-17,137.71
2024-12-18,135.44
2024-12-19,137.42
2024-12-20,148.0
2024-12-21,112.78
2024-12-22,71.63
2024-12-23,148.32
2024-12-24,133.01
2024-12-25,132.16
2024-12-26,138.74
2024-12-27,120.15
2024-12-28,88.44
2024-12-29,57.05
2024-12-30,129.86
2024-12-31,139.74
2025-01-01,139.87
2025-01-02,118.51
2025-01-03,120.85
2025-01-04,107.66
2025-01-05,86.22
2025-01-06,172.04
2025-01-07,165.21
2025-01-08,145.72
2025-01-09,121.03
2025-01-10,127.01
2025-01-11,78.44
2025-01-12,56.93
2025-01-13,127.06
2025-01-14,121.36
2025-01-15,125.51
2025-01-16,130.17
2025-01-17,122.41
2025-01-18,90.1
2025-01-19,61.62
2025-01-20,149.55
2025-01-21,183.55
2025-01-22,160.25
2025-01-23,129.36
2025-01-24,114.15
2025-01-25,77.48
2025-01-26,59.89
2025-01-27,126.5
2025-01-28,125.71
2025-01-29,123.82
2025-01-30,119.39
2025-01-31,120.79
2025-02-01,78.43
2025-02-02,57.62
2025-02-03,127.89
2025-02-04,144.52
2025-02-05,161.91
2025-02-06,170.0
2025-02-07,126.8
2025-02-08,81.91
2025-02-09,56.18
2025-02-10,104.9
2025-02-11,118.23
2025-02-12,114.34
2025-02-13,117.75
2025-02-14,100.08
2025-02-15,74.32
2025-02-16,54.45
2025-02-17,121.8
2025-02-18,133.26
2025-02-19,126.24
2025-02-20,138.33
2025-02-21,137.42
2025-02-22,77.66
2025-02-23,56.55
2025-02-24,120.38
2025-02-25,108.13
2025-02-26,101.31
2025-02-27,111.79
2025-02-28,99.57
2025-03-01,68.79
2025-03-02,56.54
2025-03-03,105.16
2025-03-04,115.34
2025-03-05,128.79
2025-03-06,143.99
2025-03-07,125.51
2025-03-08,69.86
2025-03-09,51.27
2025-03-10,108.15
2025-03-11,105.49
2025-03-12,102.88
2025-03-13,91.56
2025-03-14,85.52
2025-03-15,63.38
2025-03-16,46.42
2025-03-17,97.41
2025-03-18,105.88
2025-03-19,105.75
2025-03-20,114.86
2025-03-21,119.61
2025-03-22,80.54
2025-03-23,46.33
2025-03-24,102.58
2025-03-25,97.17
2025-03-26,94.09
2025-03-27,91.81
2025-03-28,84.94
2025-03-29,63.81
2025-03-30,44.82
2025-03-31,90.38
2025-04-01,94.84
2025-04-02,87.14
2025-04-03,90.08
2025-04-04,94.96
2025-04-05,67.79
2025-04-06,57.54
2025-04-07,109.8
2025-04-08,93.84
2025-04-09,82.0
2025-04-10,92.57
2025-04-11,89.74
2025-04-12,61.56
2025-04-13,41.87
2025-04-14,80.6
2025-04-15,85.09
2025-04-16,88.3
2025-04-17,79.71
2025-04-18,71.06
2025-04-19,54.88
2025-04-20,47.38
2025-04-21,102.27
2025-04-22,103.97
2025-04-23,84.96
2025-04-24,78.41
2025-04-25,72.95
2025-04-26,49.65
2025-04-27,41.14
2025-04-28,79.63
2025-04-29,85.4
2025-04-30,81.86
2025-05-01,79.16
2025-05-02,70.54
2025-05-03,49.98
2025-05-04,42.83
2025-05-05,103.02
2025-05-06,101.97
2025-05-07,99.27
2025-05-08,84.4
2025-05-09,74.38
2025-05-10,47.0
2025-05-11,33.93
2025-05-12,75.86
2025-05-13,80.07
2025-05-14,77.26
2025-05-15,73.48
2025-05-16,67.26
2025-05-17,45.25
2025-05-18,38.38
2025-05-19,79.77
2025-05-20,90.86
2025-05-21,89.7
2025-05-22,84.37
2025-05-23,73.85
2025-05-24,44.44
2025-05-25,31.25
2025-05-26,67.44
2025-05-27,65.11
2025-05-28,76.12
2025-05-29,62.72
2025-05-30,62.86
2025-05-31,41.3
2025-06-01,32.25
2025-06-02,64.33
2025-06-03,76.03
2025-06-04,80.29
2025-06-05,87.89
2025-06-06,90.27
2025-06-07,58.94
2025-06-08,38.5
2025-06-09,75.19
2025-06-10,72.02
2025-06-11,72.76
2025-06-12,67.93
2025-06-13,56.06
2025-06-14,45.96
2025-06-15,35.09
2025-06-16,70.38
2025-06-17,71.67
2025-06-18,69.33
2025-06-19,79.42
2025-06-20,73.44
2025-06-21,53.15
2025-06-22,41.83
2025-06-23,76.62
2025-06-24,72.5
2025-06-25,71.39
2025-06-26,72.84
2025-06-27,66.15
2025-06-28,40.64
2025-06-29,33.1
2025-06-30,70.44
2025-07-01,75.49
2025-07-02,70.58
2025-07-03,74.16
2025-07-04,76.36
2025-07-05,61.27
2025-07-06,47.2
2025-07-07,95.46
2025-07-08,84.67
2025-07-09,71.47
2025-07-10,73.13
2025-07-11,64.45
2025-07-12,48.55
2025-07-13,34.21
2025-07-14,72.57
2025-07-15,78.41
2025-07-16,73.85
2025-07-17,70.98
2025-07-18,71.02
2025-07-19,50.76
2025-07-20,47.92
2025-07-21,95.32
2025-07-22,99.23
2025-07-23,84.41
2025-07-24,79.41
2025-07-25,63.64
2025-07-26,49.51
2025-07-27,39.32
2025-07-28,76.86
2025-07-29,78.59
2025-07-30,82.34
2025-07-31,67.98
2025-08-01,71.61
2025-08-02,55.9
2025-08-03,38.48
2025-08-04,83.79
2025-08-05,112.14
2025-08-06,104.45
2025-08-07,104.87
2025-08-08,81.34
2025-08-09,52.02
2025-08-10,31.5
2025-08-11,88.38
2025-08-12,83.22
2025-08-13,79.82
2025-08-14,85.45
2025-08-15,81.29
2025-08-16,55.75
2025-08-17,40.22
2025-08-18,87.54
2025-08-19,101.24
2025-08-20,114.08
2025-08-21,121.34
2025-08-22,93.42
2025-08-23,62.74
2025-08-24,42.72
2025-08-25,96.74
2025-08-26,89.23
2025-08-27,91.13
2025-08-28,89.35
2025-08-29,88.25
2025-08-30,64.3
2025-08-31,43.15
2025-09-01,90.59
2025-09-02,86.07
2025-09-03,93.25
2025-09-04,110.01
2025-09-05,108.47
2025-09-06,92.25
2025-09-07,54.07
2025-09-08,109.04
2025-09-09,101.88
2025-09-10,97.38
2025-09-11,93.4
2025-09-12,91.0
2025-09-13,67.21
2025-09-14,46.76
2025-09-15,102.37
2025-09-16,110.62
2025-09-17,106.02
2025-09-18,100.19
2025-09-19,106.76
2025-09-20,83.06
2025-09-21,60.72
2025-09-22,126.91
2025-09-23,115.28
2025-09-24,105.49
2025-09-25,100.53
2025-09-26,102.86
2025-09-27,65.97
2025-09-28,51.48
2025-09-29,105.9
2025-09-30,115.03
2025-10-01,110.31
2025-10-02,94.02
2025-10-03,98.84
2025-10-04,77.2
2025-10-05,57.62
2025-10-06,142.74
2025-10-07,148.89
2025-10-08,122.4
2025-10-09,110.37
2025-10-10,106.56
2025-10-11,76.16
2025-10-12,48.7
2025-10-13,116.21
2025-10-14,115.61
2025-10-15,117.65
2025-10-16,117.05
2025-10-17,104.13
2025-10-18,80.44
2025-10-19,53.99
2025-10-20,136.28
2025-10-21,141.64
2025-10-22,139.15
2025-10-23,121.3
2025-10-24,102.72
2025-10-25,77.28
2025-10-26,56.47
2025-10-27,123.55
2025-10-28,123.69
2025-10-29,114.88
2025-10-30,127.46
2025-10-31,112.65
2025-11-01,81.62
2025-11-02,54.32
2025-11-03,117.4
2025-11-04,137.05
2025-11-05,150.31
2025-11-06,164.87
2025-11-07,142.54
2025-11-08,87.49
2025-11-09,64.02
2025-11-10,124.33
2025-11-11,135.39
2025-11-12,126.51
2025-11-13,120.22
2025-11-14,110.47
2025-11-15,81.33
2025-11-16,60.5
2025-11-17,131.33
2025-11-18,129.33
2025-11-19,147.89
2025-11-20,142.44
2025-11-21,141.33
2025-11-22,99.42
2025-11-23,59.87
2025-11-24,141.9
2025-11-25,123.57
2025-11-26,128.94
2025-11-27,130.39
2025-11-28,103.29
2025-11-29,85.39
2025-11-30,63.99
2025-12-01,130.97
2025-12-02,123.08
2025-12-03,126.81
2025-12-04,128.92
2025-12-05,148.34
2025-12-06,100.77
2025-12-07,77.01
2025-12-08,132.07
2025-12-09,136.78
2025-12-10,115.12
2025-12-11,120.05
2025-12-12,109.6
2025-12-13,79.52
2025-12-14,55.77
2025-12-15,126.41
2025-12-16,141.34
2025-12-17,126.37
2025-12-18,114.02
2025-12-19,115.2
2025-12-20,95.29
2025-12-21,79.3
2025-12-22,137.64
2025-12-23,135.58
2025-12-24,131.01
2025-12-25,116.6
2025-12-26,115.5
2025-12-27,88.24
2025-12-28,53.46
2025-12-29,127.17
2025-12-30,128.62
